date_session;url_fiche_boas;methode_acces;fourni_par_utilisateur
session 3;https://www.health-data-hub.fr/bibliotheque-ouverte-algorithmes-sante/picola;fetch direct (site rendu server-side ce jour-la);non
session 3;https://www.health-data-hub.fr/bibliotheque-ouverte-algorithmes-sante/developpement-dun-algorithme-de-reperage-des-individus-0;cache moteur de recherche;non
session 3;https://www.health-data-hub.fr/bibliotheque-ouverte-algorithmes-sante (page 0 a 4, listing complet);fetch direct;non
session 4;https://www.health-data-hub.fr/bibliotheque-ouverte-algorithmes-sante/ehden-persephone;fetch direct (fourni par l'utilisateur, 1ere fois - titre seul obtenu);oui
session 4;https://www.health-data-hub.fr/bibliotheque-ouverte-algorithmes-sante (page 0 a 4, re-confirmation complete);fetch direct;non
session 4;https://www.health-data-hub.fr/bibliotheque-ouverte-algorithmes-sante/algorithme-pour-construire-le-top-diabete-de-la-cartographie;fetch direct;non
session 4;https://www.health-data-hub.fr/bibliotheque-ouverte-algorithmes-sante/prise-en-charge-des-allergies-aux-pollens-dans-la-region;fetch direct;non
session 4;https://www.health-data-hub.fr/bibliotheque-ouverte-algorithmes-sante/indicateurs-sur-le-statut-dayant-droit-entre-2012-et-2020;fetch direct;non
session 4;https://www.health-data-hub.fr/bibliotheque-ouverte-algorithmes-sante/magic-loop;fetch direct;non
session 4;https://www.health-data-hub.fr/bibliotheque-ouverte-algorithmes-sante/prise-en-charge-des-patients-atteints-de-la-maladie-de-crohn;fetch direct;non
session 4;https://www.health-data-hub.fr/bibliotheque-ouverte-algorithmes-sante/bibliotheque-doutils-de-pseudonymisation-dattributs-et-de;fetch direct;non
session 4;https://www.health-data-hub.fr/bibliotheque-ouverte-algorithmes-sante/extract-metadata-extraction-de-metadonnees-partir-dune-base;fetch direct;non
session 4;https://data.code.gouv.fr/hosts/gitlab.com/owners/healthdatahub (miroir GitLab, 50/70 repos);fetch direct + recherche;non
session 5;https://www.health-data-hub.fr/bibliotheque-ouverte-algorithmes-sante/eds-pseudo-pseudonymisation-de-documents-medicaux;recherche puis fetch (echec fetch direct au 1er essai);non
session 5;https://www.health-data-hub.fr/bibliotheque-ouverte-algorithmes-sante/eds-nlp-framework-de-nlp-modulaire-et-rapide-compatible-avec;fetch direct;non
session 5;https://www.health-data-hub.fr/bibliotheque-ouverte-algorithmes-sante/eds-pdf-extraction-dinformations-textuelles-partir-de;recherche puis fetch;non
session 6;https://www.health-data-hub.fr/bibliotheque-ouverte-algorithmes-sante/mors-module-dobservation-et-de-rapprochement-statut-vital;fetch direct (fourni par l'utilisateur);oui
session 6;https://www.health-data-hub.fr/bibliotheque-ouverte-algorithmes-sante/prediction-amelioree-par-lia-de-la-progression-de-la-stenose;fetch direct (fourni par l'utilisateur);oui
session 7;https://www.health-data-hub.fr/bibliotheque-ouverte-algorithmes-sante/sndstools-developpement-de-fonctions-dextraction;fetch direct (fourni par l'utilisateur);oui
session 7;https://www.health-data-hub.fr/bibliotheque-ouverte-algorithmes-sante/sndskit-moteur-de-recherche-pour-extraire-les-donnees-de;fetch direct (fourni par l'utilisateur);oui
session 7;https://www.health-data-hub.fr/bibliotheque-ouverte-algorithmes-sante/la-base-rac-restes-charge-en-sante-apres-assurance-maladie;fetch direct (fourni par l'utilisateur);oui
session 7;https://www.health-data-hub.fr/bibliotheque-ouverte-algorithmes-sante/data-challenge-tissuenet-detection-des-lesions-dans-les;fetch direct (fourni par l'utilisateur);oui
session 7;https://www.health-data-hub.fr/bibliotheque-ouverte-algorithmes-sante/data-challenge-visiomel-prediction-de-la-recidive-5-ans-des;fetch direct (fourni par l'utilisateur);oui
session 7;https://www.health-data-hub.fr/bibliotheque-ouverte-algorithmes-sante/data-challenge-digilut-amelioration-de-la-detection-du-rejet;fetch direct (fourni par l'utilisateur);oui
session 7;https://www.health-data-hub.fr/bibliotheque-ouverte-algorithmes-sante/allergen-chip-challenge-identification-des-allergenes-en;fetch direct (fourni par l'utilisateur);oui
session 7;https://www.health-data-hub.fr/bibliotheque-ouverte-algorithmes-sante/d-ia-gno-dent-data-challenge-favoriser-lacces-la-detection;fetch direct (fourni par l'utilisateur);oui
session 7;https://www.health-data-hub.fr/bibliotheque-ouverte-algorithmes-sante/data-challenge-cytolog-ia-automatisation-du-diagnostic-des;fetch direct (fourni par l'utilisateur);oui
session 7;https://www.health-data-hub.fr/bibliotheque-ouverte-algorithmes-sante/ehden-persephone;fetch direct (fourni par l'utilisateur, re-fetch complet);oui
session 7;https://www.health-data-hub.fr/bibliotheque-ouverte-algorithmes-sante/cartographie-des-pathologies-et-des-depenses-version-g12;fetch direct (fourni par l'utilisateur);oui
